Category Label,Category ID
Arts and Entertainment,4d4b7104d754a06370d81259
Amusement Parks,4bf58dd8d48988d182941735
Attractions,5109983191d435c0d71c2bb1
Aquariums,4fceea171983d5d06c3e9823
Arcades,4bf58dd8d48988d1e1931735
Art Galleries,4bf58dd8d48988d1e2931735
Bingo Centers,63be6904847c3692a84b9b20
Bowling Alleys,4bf58dd8d48988d1e4931735
Carnivals,63be6904847c3692a84b9b21
Casinos,4bf58dd8d48988d17c941735
Circuses,52e81612bcbc57f1066b79e7
Comedy Clubs,4bf58dd8d48988d18e941735
Country Clubs,63be6904847c3692a84b9b22
Country Dance Clubs,52e81612bcbc57f1066b79ef
Dance Halls,63be6904847c3692a84b9b23
Disc Golf Courses,63be6904847c3692a84b9c03
Disc Golfs,52e81612bcbc57f1066b79e8
Escape Rooms,5f2c2834b6d05514c704451e
Exhibits,56aa371be4b08b9a8d573532
Fairs,4eb1daf44b900d56c88a4600
Gaming Cafes,4bf58dd8d48988d18d941735
Go Kart Tracks,52e81612bcbc57f1066b79ea
Internet Cafes,4bf58dd8d48988d1f0941735
Karaoke Boxes,5744ccdfe4b0c0459246b4bb
Laser Tag Centers,52e81612bcbc57f1066b79e6
Mini Golf Courses,52e81612bcbc57f1066b79eb
Movie Theaters,4bf58dd8d48988d17f941735
Drive-in Theaters,56aa371be4b08b9a8d5734de
Indie Movie Theaters,4bf58dd8d48988d17e941735
Museums,4bf58dd8d48988d181941735
Art Museums,4bf58dd8d48988d18f941735
Erotic Museums,559acbe0498e472f1a53fa23
History Museums,4bf58dd8d48988d190941735
Science Museums,4bf58dd8d48988d191941735
Night Clubs,4bf58dd8d48988d11f941735
Pachinko Parlors,5744ccdfe4b0c0459246b4b8
Party Centers,63be6904847c3692a84b9b24
Performing Arts Venues,4bf58dd8d48988d1f2931735
Amphitheaters,56aa371be4b08b9a8d5734db
Concert Halls,5032792091d4c4b30a586d5c
Indie Theaters,4bf58dd8d48988d135941735
Music Venues,4bf58dd8d48988d1e5931735
Jazz and Blues Venues,4bf58dd8d48988d1e7931735
Rock Clubs,4bf58dd8d48988d1e9931735
Opera Houses,4bf58dd8d48988d136941735
Theaters,4bf58dd8d48988d137941735
Planetariums,4bf58dd8d48988d192941735
Pool Halls,4bf58dd8d48988d1e3931735
Psychics and Astrologers,52f2ab2ebcbc57f1066b8b43
Public Art,507c8c4091d498d9fc8c67a9
Outdoor Sculptures,52e81612bcbc57f1066b79ed
Street Arts,52e81612bcbc57f1066b79ee
